Census Year,County,lat,lng,Type of Livestock,VALUE
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),1167.7
2000,Louth,53.94861,-6.54139,Total cattle,499.0
2000,Louth,53.94861,-6.54139,Dairy cows,215.8
2000,Louth,53.94861,-6.54139,Other cows,145.0
2000,Louth,53.94861,-6.54139,Total sheep,6713.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),1004.6
2000,Louth,53.94861,-6.54139,Total cattle,430.0
2000,Louth,53.94861,-6.54139,Dairy cows,215.8
2000,Louth,53.94861,-6.54139,Other cows,91.0
2000,Louth,53.94861,-6.54139,Total sheep,215.8
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),1208.8
2000,Louth,53.94861,-6.54139,Total cattle,2366.0
2000,Louth,53.94861,-6.54139,Dairy cows,170.0
2000,Louth,53.94861,-6.54139,Other cows,480.0
2000,Louth,53.94861,-6.54139,Total sheep,2789.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),1816.2
2000,Louth,53.94861,-6.54139,Total cattle,822.0
2000,Louth,53.94861,-6.54139,Dairy cows,215.8
2000,Louth,53.94861,-6.54139,Other cows,133.0
2000,Louth,53.94861,-6.54139,Total sheep,2202.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),795.6
2000,Carlow,53.94861,-6.54139,Total cattle,3730.0
2000,Carlow,53.94861,-6.54139,Dairy cows,203.0
2000,Carlow,53.94861,-6.54139,Other cows,1032.0
2000,Carlow,53.94861,-6.54139,Total sheep,7219.0
2000,Carlow,53.94861,-6.54139,Livestock Units (LSU),3147.4
2000,Louth,53.94861,-6.54139,Total cattle,1473.0
2000,Louth,53.94861,-6.54139,Dairy cows,215.8
2000,Louth,53.94861,-6.54139,Other cows,266.0
2000,Louth,53.94861,-6.54139,Total sheep,839.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),1506.9
2000,Louth,53.94861,-6.54139,Total cattle,1281.0
2000,Louth,53.94861,-6.54139,Dairy cows,215.8
2000,Louth,53.94861,-6.54139,Other cows,312.0
2000,Louth,53.94861,-6.54139,Total sheep,10958.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),1958.3
2000,Louth,53.94861,-6.54139,Total cattle,2888.0
2000,Louth,53.94861,-6.54139,Dairy cows,464.0
2000,Louth,53.94861,-6.54139,Other cows,356.0
2000,Louth,53.94861,-6.54139,Total sheep,1195.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),2437.5
2000,Louth,53.94861,-6.54139,Total cattle,3754.0
2000,Louth,53.94861,-6.54139,Dairy cows,542.0
2000,Louth,53.94861,-6.54139,Other cows,480.0
2000,Louth,53.94861,-6.54139,Total sheep,2943.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),3640.5
2000,Louth,53.94861,-6.54139,Total cattle,716.0
2000,Louth,53.94861,-6.54139,Dairy cows,215.8
2000,Louth,53.94861,-6.54139,Other cows,215.8
2000,Louth,53.94861,-6.54139,Total sheep,215.8
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),607.1
2000,Louth,53.94861,-6.54139,Total cattle,2218.0
2000,Louth,53.94861,-6.54139,Dairy cows,319.0
2000,Louth,53.94861,-6.54139,Other cows,367.0
2000,Louth,53.94861,-6.54139,Total sheep,11225.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),2618.6
2000,Louth,53.94861,-6.54139,Total cattle,537.0
2000,Louth,53.94861,-6.54139,Dairy cows,0.0
2000,Louth,53.94861,-6.54139,Other cows,119.0
2000,Louth,53.94861,-6.54139,Total sheep,5992.0
2000,Louth,53.94861,-6.54139,Livestock Units (LSU),969.4
2000,Louth,53.94861,-6.54139,Total cattle,2847.0
2000,Louth,53.94861,-6.54139,Dairy cows,802.0
2000,Louth,53.94861,-6.54139,Other cows,259.0
